"","Year","Rank","DJ","Change"
"613",2004,35,"Bad Boy Bill","Up 37"
"614",2005,37,"James Holden","Down 1"
"615",2006,35,"Phil Kieran","New Entry"
"616",2007,36,"Eric Prydz","New Entry"
"617",2008,35,"Ricky Stone","Up 33"
"618",2009,35,"Bob Sinclair","Up 5"
"619",2010,35,"Kaskade","Up 16"
"620",2011,35,"Noisecontrollers","Up 55"
"621",2012,35,"Chuckie","Down 3"
"622",2013,35,"Dada Life","Down 11"
"623",2014,35,"Fedde Le Grand","Down 6"
"624",2015,35,"Fedde Le Grand","Non Mover"
"625",2016,35,"Zedd","Down 13"
"626",2017,NA,"35","Bassjackers"
"627",2018,35,"Wolfpack","Up 6"
"628",2019,35,"Carl Cox","Up 18"
"629",2020,35,"Zedd","Up 15"
"630",2021,35,"ATB","Up 21"
"631",2004,36,"James Holden","Up 40"
"632",2005,38,"Mario Piu","Re-entry"
"633",2006,36,"Nick Warren","Down 1"
"634",2007,37,"Blank & Jones","Up 23"
"635",2008,36,"Ricardo Villalobos","Up 13"
"636",2009,36,"Joachim Garraud","Down 9"
"637",2010,36,"Headhunterz","New Entry"
"638",2011,36,"W&W","Up 36"
"639",2012,36,"Zatox","Up 11"
"640",2013,36,"Kaskade","Down 6"
"641",2014,36,"Vicetone","Up 24"
"642",2015,36,"Ummet Ozcan","Down 5"
"643",2016,36,"Headhunterz","Up 12"
"644",2017,36,"Blasterjaxx","Up 7"
"645",2018,36,"Alan Walker","Down 19"
"646",2019,36,"Blasterjaxx","Up 1"
"647",2020,36,"Angerfist","Down 3"
"648",2021,36,"Tujamo","Up 4"
"649",2004,37,"Dave Clarke","Down 6"
"650",2005,39,"David Guetta","New Entry"
"651",2006,37,"DJ Skazi","New Entry"
"652",2007,38,"Bad Boy Bill","Up 5"
"653",2008,37,"Lange","Up 18"
"654",2009,37,"Kyau & Albert","Down 15"
"655",2010,37,"Chuckie","Up 35"
"656",2011,37,"Pete Tha Zouk","Up 44"
"657",2012,37,"Coone","Up 4"
"658",2013,37,"Frontliner","Up42"
"659",2014,37,"Angerfist","Down 3"
"660",2015,37,"Showtek","Down 20"
"661",2016,37,"VINAI","Up 6"
"662",2017,37,"Alesso","Down 17"
"663",2018,37,"Blasterjaxx","Down 1"
"664",2019,37,"Nicky Romero","Up 6"
"665",2020,37,"Diplo","Up 30"
"666",2021,37,"Carnage","GORDO"
"667",2004,38,"Blank & Jones","Up 35"
"668",2005,40,"DJ Vibe","Up 40"
"669",2006,38,"Steve Lawler","Down 8"
"670",2007,39,"Pete Tong","Up 18"
"671",2008,38,"Daft Punk","Up 33"
"672",2009,38,"James Zabiela","Down 21"
"673",2010,38,"Bob Sinclair","Down 3"
"674",2011,38,"Dada Life","Up 38"
"675",2012,38,"Dimitri Vegas & Like Mike","Up 41"
"676",2013,38,"Steve Angello","Up 19"
"677",2014,38,"Paul van Dyk","Down 6"
"678",2015,38,"Angerfist","Down 1"
"679",2016,38,"Florian Picasso","New Entry"
"680",2017,38,"Ummet Ozcan","Down 19"
"681",2018,38,"Danny Avila","Up 14"
"682",2019,38,"Wolfpack","Down 3"
"683",2020,38,"Danny Avila","Up 3"
"684",2021,38,"Peggy Gou","Up 31"
"685",2004,39,"Above & Beyond","Re-entry"
"686",2005,41,"Kai Tracid","Up 28"
"687",2006,39,"D-Formation","New Entry

 
  40"
"688",2007,40,"DJ Vibe","Up 7"
"689",2008,39,"Benny Benassi","Down 7"
"690",2009,39,"Umek","Down 6"
"691",2010,39,"Avicii","New Entry"
"692",2011,39,"Angerfist","New Entry"
"693",2012,39,"Cosmic Gate","Up 4"
"694",2013,39,"Sander Van Doorn","Down 21"
"695",2014,39,"Sebastian Ingrosso","Down 21"
"696",2015,39,"Bassjackers","New Entry"
"697",2016,39,"Galantis","Up 59"
"698",2017,39,"Fedde Le Grand","Up 11"
"699",2018,39,"Kura","Up 9"
"700",2019,39,"ATB","Up 10"
"701",2020,39,"VINAI","Down 11"
"702",2021,39,"MORTEN","New Entry"
"703",2004,40,"Danny Tenaglia","Down 22"
"704",2005,42,"Bad Boy Bill","Down 7"
"705",2006,41,"Astrix","Up 34"
"706",2007,41,"Tiga","Up 9"
"707",2008,40,"Bob Sinclair","Up 23"
"708",2009,40,"Christopher Lawrence","Re-entry"
"709",2010,40,"Kyau & Albert","Down 3"
"710",2011,40,"D-Block & S-te-Fan","Up 33"
"711",2012,40,"Porter Robinson","Up 56"
"712",2013,40,"Martin Garrix","New Entry"
"713",2014,40,"Headhunterz","Down 17"
"714",2015,40,"Andrew Rayel","Down 16"
"715",2016,40,"Jack U","Up 5"
"716",2017,40,"Angerfist","Up 6"
"717",2018,40,"Calvin Harris","Down 25"
"718",2019,40,"Kura","Down 1"
"719",2020,40,"Tujamo","Up 3"
"720",2021,40,"Mariana Bo","Up 4"
"721",2004,41,"Gabriel & Dresden","Up 1"
"722",2005,43,"Tall Paul","Down 24"
"723",2006,42,"Roger Sanchez","Down 15"
"724",2007,42,"Steve Lawler","Down 4"
"725",2008,41,"Deep Dish","Down 30"
"726",2009,41,"Eddie Halliwell","Down 22"
"727",2010,41,"DJ Feel","Down 11"
"728",2011,41,"Coone","New Entry"
"729",2012,41,"Wildstylez","Up 39"
"730",2013,41,"Porter Robinson","Down 1"
"731",2014,41,"Borgore","New Entry"
"732",2015,41,"Paul van Dyk","Down 3"
"733",2016,41,"Aly & Fila","Up 1"
"734",2017,41,"Wolfpack","Up 22"
"735",2018,41,"Axwell ","\ Ingrosso"
"736",2019,41,"Danny Avila","Down 3"
"737",2020,41,"Claptone","Up 12"
"738",2021,41,"Paul van Dyk","Up 9"
"739",2004,43,"Nick Warren","Down 15"
"740",2005,44,"Tiga","New Entry"
"741",2006,43,"Bad Boy Bill","Down 1"
"742",2007,43,"Danny Tenaglia","Up 15"
"743",2008,42,"Mark Knight","Up 9"
"744",2009,42,"Simon Patterson","Up 22"
"745",2010,42,"Moonbeam","Up 34"
"746",2011,42,"Steve Aoki","New Entry"
"747",2012,42,"Angerfist","Down 3"
"748",2013,42,"Ferry Corsten","Down 20"
"749",2014,42,"Kura","New Entry"
"750",2015,42,"Aly & Fila","Down 14"
"751",2016,42,"Shogun","Up 5"
"752",2017,42,"Nervo","Up 3"
"753",2018,42,"Diplo","Down 17"
"754",2019,42,"Swedish House Mafia","Up 21"
"755",2020,42,"MATTN","Up 9"
"756",2021,42,"Boris Brejcha","Up 18"
"757",2004,44,"Richie Hawtin","Down 11"
"758",2005,45,"DJ Yahel","Re-entry"
"759",2006,44,"Sven Väth","Down 21"
"760",2007,44,"Ronski Speed","Up 43"
"761",2008,43,"Astrix","Down 25"
"762",2009,43,"Offer Nissim","Up 8"
"763",2010,43,"Joachim Garraud","Down 7"
"764",2011,43,"Cosmic Gate","Down 19"
"765",2012,43,"Infected Mushroom","Down 22"
"766",2013,43,"Chuckie","Down 8"
"767",2014,43,"Daft Punk","Down 21"
"768",2015,43,"VINAI","Up 19"
"769",2016,43,"Blasterjaxx","Down 27"
"770",2017,43,"Timmy Trumpet","Up 37"
"771",2018,43,"Nicky Romero","Up 7"
"772",2019,43,"Tujamo","Up 3"
"773",2020,43,"Illenium","Up 21"
"774",2021,43,"Ummet Ozcan","Up 22"
"775",2004,45,"Laurent Garnier","Down 16"
"776",2005,46,"Andy Moor","New Entry
 

  47"
"777",2006,45,"The Thrillseekers","Re-entry"
"778",2007,45,"Nic Fanciulli","Re-entry"
"779",2008,44,"Marco V","Down 24"
"780",2009,44,"Judge Jules","Down 12"
"781",2010,44,"Daft Punk","Down 11"
"782",2011,44,"Bobina","Down 19"
"783",2012,44,"Daft Punk","Down 16"
"784",2013,44,"Krewella","New Entry"
"785",2014,44,"Markus Schulz","Down 23"
"786",2015,44,"Alok","New Entry"
"787",2016,44,"Major Lazer","Up 10"
"788",2017,44,"Radical Redemption","Up 24"
"789",2018,44,"Zedd","Down 15"
"790",2019,44,"Alison Wonderland","Up 52"
"791",2020,44,"Mariana Bo","Up 5"
"792",2021,44,"Amelie Lens","Up 15"
"793",2004,46,"Pete Tong","Down 21"
"794",2005,48,"Ricky Stone","New Entry"
"795",2006,46,"Donald Glaude","Up 22"
"796",2007,46,"Steve Angello","Up 20"
"797",2008,45,"The Thrillseekers","Up 7"
"798",2009,45,"Sean Tyas","Up 9"
"799",2010,45,"Lange","Down 14"
"800",2011,45,"Richie Hawtin","Down 14"
"801",2012,45,"Carl Cox","Down 14"
"802",2013,45,"Coone","Down 8"
"803",2014,45,"Frontliner","Down 8"
"804",2015,45,"Jack U","New Entry"
"805",2016,45,"Nervo","Down 21"
"806",2017,45,"Major Lazer","Down 1"
"807",2018,45,"Alesso","Down 8"
"808",2019,45,"Martin Jensen","Up 9"
"809",2020,45,"Alesso","Up 16"
"810",2021,45,"REZZ","Up 12"
"811",2004,47,"Jeff Mills ","Down 8"
"812",2005,49,"Pete Tong","Down 3"
"813",2006,47,"DJ Vibe","Down 7"
"814",2007,47,"Nick Warren","Down 11"
"815",2008,46,"Laidback Luke","New Entry 7"
"816",2009,46,"Dubfire","Down 16"
"817",2010,46,"Sean Tyas","Down 1"
"818",2011,46,"Eric Prydz","Down 16"
"819",2012,46,"Nervo","New Entry"
"820",2013,46,"Carl Cox","Down 1"
"821",2014,46,"Kaskade","Down 10"
"822",2015,46,"Tom Swoon","New Entry"
"823",2016,46,"Angerfist","Down 8"
"824",2017,46,"Tujamo","Up 32"
"825",2018,46,"Tujamo","Non Mover"
"826",2019,46,"Cat Dealers","Up 2"
"827",2020,46,"Headhunterz","Down 17"
"828",2021,46,"Angerfist","Down 10"
"829",2004,48,"Satoshi Tomiie","Down 14"
"830",2005,50,"Martin Garcia ","New Entry"
"831",2006,48,"Kyau & Albert","New Entry"
"832",2007,48,"Matt Hardwick","Up 16"
"833",2008,47,"Danny Tenaglia","Down 4"
"834",2009,47,"Martin Solveig","Up 5"
"835",2010,47,"Eddie Halliwell","Down 6"
"836",2011,47,"Zatox","New Entry"
"837",2012,47,"Pete Tha Zouk","Down 10"
"838",2013,47,"Bobina","Up 6"
"839",2014,47,"Brennan Heart","Up 14"
"840",2015,47,"Shogun","New Entry"
"841",2016,47,"Above & Beyond","Down 18"
"842",2017,47,"Tom Swoon","Up 9"
"843",2018,47,"Yellow Claw","Up 10"
"844",2019,47,"Vintage Culture","Down 28"
"845",2020,47,"Alison Wonderland","Down 3"
"846",2021,47,"Diego Miranda","Up 4"
"847",2004,49,"Misstress Barbara","Re-entry"
"848",2005,51,"Frank T.R.A.X","New Entry"
"849",2006,49,"Chris Liebing","Down 16"
"850",2007,49,"Ricardo Villalobos","Re-entry"
"851",2008,48,"Menno De Jong","Up 14"
"852",2009,48,"Sven Väth","Down 24"
"853",2010,48,"Erick Morillo","Up 11"
"854",2011,48,"tyDi","Up 8"
"855",2012,48,"Martin Solveig","Down 19"
"856",2013,48,"Omnia","Up 10"
"857",2014,48,"Coone","Down 3"
"858",2015,48,"Headhunterz","Down 8"
"859",2016,48,"Yellow Claw","Up 26"
"860",2017,48,"Kura","Up 3"
"861",2018,48,"Cat Dealers","Up 26"
"862",2019,48,"Adam Beyer","Up 31"
"863",2020,48,"Adam Beyer","Non Mover"
"864",2021,48,"Kygo","Down 20"
"865",2004,50,"Adam Beyer","Up 15"
"866",2005,52,"Timo Maas","Re-entry"
"867",2006,50,"Tiga","Down 6"
"868",2007,50,"James Holden","Up 3"
"869",2008,49,"Marco Lenzi","New Entry 14"
"870",2009,49,"Richard Durand","Up 49"
"871",2010,49,"James Zabiela","Down 11"
"872",2011,49,"Orjan Nilsen","New Entry"
"873",2012,49,"Brennan Heart","Up 49"
"874",2013,49,"Orjan Nilsen","Down 17"
"875",2014,49,"Infected Mushroom","Up 4"
"876",2015,49,"Coone","Down 1"
"877",2016,49,"MaRLo","Up42"
"878",2017,49,"Deadmau5","Down 18"
"879",2018,49,"ATB","Up 5"
"880",2019,49,"Mariana Bo","Up 19"
"881",2020,49,"Wolfpack","Down 11"
"882",2021,49,"Alison Wonderland","Down 2"
"883",2004,51,"Fatboy Slim","Down 8"
"884",2005,53,"Laurent Garnier","Down 8"
"885",2006,51,"Matt Darey","Up 40"
"886",2007,51,"Mark Knight","New Entry"
"887",2008,50,"Andy C","Up 17"
"888",2009,50,"Marco V","Down 6"
"889",2010,50,"Umek","Down 11"
"890",2011,50,"Andy Moor","Down 18"
"891",2012,50,"Tenishia","Up 41"
"892",2013,50,"Zatox","Down 14"
"893",2014,50,"Laidback Luke","Down 19"
"894",2015,50,"Vicetone","Down 14"
"895",2016,50,"Fedde Le Grand","Down 15"
"896",2017,50,"Nicky Romero","Down 21"
"897",2018,50,"Diego Miranda","Up 6"
"898",2019,50,"Zedd","Down 6"
"899",2020,50,"Paul van Dyk","Up 37"
"900",2021,50,"Jamie Jones","Up 18"
"901",2004,52,"John '00' Fleming","Down 25"
"902",2005,54,"Desyn Masiello","New Entry"
"903",2006,52,"Bob Sinclair","New Entry"
"904",2007,53,"Marco Bailey","Re-entry"
"905",2008,51,"Offer Nissim","Up 5"
"906",2009,51,"Kaskade","New Entry"
"907",2010,51,"Paul Oakenfold","Down 28"
"908",2011,51,"Roger Shah","Down 17"
"909",2012,51,"Zedd","New Entry"
"910",2013,51,"Gareth Emery","Down 37"
"911",2014,51,"Sander Van Doorn","Down 12"
"912",2015,51,"Richie Hawtin","Up 39"
"913",2016,51,"Kura","Up 10"
"914",2017,51,"Paul van Dyk","Up 9"
"915",2018,51,"Above & Beyond","Down 24"
"916",2019,51,"MATTN","Up 21"
"917",2020,51,"Diego Miranda","Up 4"
"918",2021,51,"VINAI","Down 12"
"919",2004,53,"Plump DJ's","Down 16"
"920",2005,55,"Victor Calderone","Up 11"
"921",2006,53,"James Holden","Down 16"
"922",2007,54,"Anderson Noise","Up 25"
"923",2008,52,"Martin Solveig","Up 20"
"924",2009,52,"tyDi","New Entry"
"925",2010,52,"Matt Darey","Up 2"
"926",2011,52,"John O'Callaghan","Down 19"
"927",2012,52,"Eric Prydz","Down 6"
"928",2013,52,"Bingo Players","Up 14"
"929",2014,52,"Dada Life","Down 17"
"930",2015,52,"Wolfpack","Up 32"
"931",2016,52,"Lost Stories","New Entry"
"932",2017,52,"Danny Avila","Re-entry"
"933",2018,52,"Jeffrey Sutorius","Down 32"
"934",2019,52,"Kygo","Down 20"
"935",2020,NA,"Cat Dealers","Down 6"
"936",2021,52,"Deadmau5","Up 12"
"937",2004,54,"David Morales","Up 28"
"938",2005,56,"Lisa Lashes","Down 26"
"939",2006,55,"Wrecked Machines","New Entry"
"940",2007,55,"Lange","Down 1"
"941",2008,53,"Adam Sheridan","New Entry 20"
"942",2009,53,"Erick Morillo","Up 17"
"943",2010,53,"Mark Knight","Up 8"
"944",2011,53,"Astrix","Up 6"
"945",2012,53,"Bobina","Down 9"
"946",2013,53,"Infected Mushroom","Down 10"
"947",2014,53,"Knife Party","Down 28"
"948",2015,53,"Brennan Heart","Down 6"
"949",2016,53,"Deorro","Down 25"
"950",2017,53,"Aly & Fila","Down 12"
"951",2018,53,"Carl Cox","Up 9"
"952",2019,53,"Claptone","Up 4"
"953",2020,53,"Ferry Corsten","Up 6"
"954",2021,53,"Miss K8","Up 1"
"955",2004,55,"Umek","Down 10"
"956",2005,57,"Johan Gielen","Down 29"
"957",2006,56,"Dion Mavath","New Entry"
"958",2007,56,"Offer Nissim","Down 27"
"959",2008,54,"Sean Tyas","New Entry 20"
"960",2009,54,"Matt Darey","Down 20"
"961",2010,54,"Richard Durand","Down 5"
"962",2011,54,"Erick Morillo","Down 6"
"963",2012,54,"Madeon","New Entry"
"964",2013,54,"Eric Prydz","Down 2"
"965",2014,54,"Dillon Francis","Up 19"
"966",2015,54,"Major Lazer","New Entry"
"967",2016,54,"Vintage Culture","New Entry"
"968",2017,54,"ATB","Up 7"
"969",2018,54,"Martin Jensen","Up 16"
"970",2019,54,"Mike Williams","Up 12"
"971",2020,54,"Miss K8","Up 15"
"972",2021,54,"Nina Kraviz","Up 12"
"973",2004,56,"Lee Burridge","Down 12"
"974",2005,58,"Matt Hardwick","Up 1"
"975",2006,56,"Dion Mavath","New Entry"
"976",2007,57,"Kyau & Albert","Down 9"
"977",2008,55,"DJ Feel","New Entry 20"
"978",2009,55,"Astrix","Down 12"
"979",2010,55,"Martin Solveig","Down 8"
"980",2011,55,"John Digweed","Down 26"
"981",2012,55,"John O'Callaghan","Down 3"
"982",2013,55,"Tommy Trash","Up 7"
"983",2014,55,"Yves V","New Entry"
"984",2015,55,"Porter Robinson","Up 2"
"985",2016,55,"Alan Walker","New Entry"
"986",2017,55,"Yves V","Up 7"
"987",2018,55,"Paul van Dyk","Down 4"
"988",2019,55,"Diego Miranda","Down 5"
"989",2020,55,"DVBBS","Down 32"
"990",2021,55,"Beauz","New Entry"
"991",2004,57,"Dave Seaman","Down 17"
"992",2005,59,"Misstress Barbara","Down 10"
"993",2006,57,"Pete Tong","Down 8"
"994",2007,58,"Justice","New Entry"
"995",2008,56,"Yahel","Down 28"
"996",2009,56,"Menno De Jong","Down 8"
"997",2010,56,"tyDi","Down 4"
"998",2011,56,"Wolfgang Gartner","Up 14"
"999",2012,56,"DJ Feel","Up 1"
"1000",2013,56,"Wildstylez","Down 15"
"1001",2014,56,"Firebeatz","New Entry"
"1002",2015,56,"Markus Schulz","Down 12"
"1003",2016,56,"Tom Swoon","Down 10"
"1004",2017,56,"Diego Miranda","Up 2"
"1005",2018,56,"Will Sparks","Up 27"
"1006",2019,56,"Yves V","Re-entry"
"1007",2020,56,"ATB","Down 17"
"1008",2021,56,"Will Sparks","Up 2"
"1009",2004,58,"Fergie","Down 35"
"1010",2005,60,"Fergie","Down 2"
"1011",2006,58,"Danny Tenaglia","Down 22"
"1012",2007,60,"Timo Maas","Up 3"
"1013",2008,57,"Roger Sanchez","Down 32"
"1014",2009,57,"The Thrillseekers","Down 12"
"1015",2010,57,"Hernan Cattaneo","Down 25"
"1016",2011,57,"DJ Feel","Down 16"
"1017",2012,57,"Steve Angello","Down 34"
"1018",2013,57,"Arty","Down 29"
"1019",2014,57,"Porter Robinson","Down 16"
"1020",2015,57,"Eric Prydz","Up 3"
"1021",2016,57,"Coone","Down 8"
"1022",2017,57,"Yellow Claw","Down 9"
"1023",2018,57,"Claptone","Up 12"
"1024",2019,57,"Will Sparks","Down 1"
"1025",2020,57,"REZZ","New Entry"
"1026",2021,57,"Ferry Corsten","Down 4"
"1027",2004,59,"Matt Hardwick","Up 5"
"1028",2005,61,"Armand Van Helden","Up 23"
"1029",2006,59,"George Acosta","New Entry"
"1030",2007,61,"Danny Howells","Up 6"
"1031",2008,58,"DJ Shah","New Entry 32"
"1032",2009,58,"Nick Warren","Up 26"
"1033",2010,58,"Sven Väth","Down 10"
"1034",2011,58,"Showtek","Up 33"
"1035",2012,58,"Omnia","New Entry"
"1036",2013,58,"R3hab","Up 15"
"1037",2014,58,"ATB","Down 25"
"1038",2015,58,"Diego Miranda","Up 12"
"1039",2016,58,"Diego Miranda","Non Mover"
"1040",2017,58,"Miss K8","Up 30"
"1041",2018,58,"Steve Angello","Up 24"
"1042",2019,58,"Steve Angello","Non Mover"
"1043",2020,58,"Will Sparks","Down 1"
"1044",2021,58,"Adam Beyer","Down 10"
"1045",2004,60,"Slacker","Re-entry"
"1046",2005,62,"Michel De Hey","Up 3"
"1047",2006,60,"Blank & Jones","Down 29"
"1048",2007,62,"Menno De Jong","Up 10"
"1049",2008,59,"Sander Kleinenberg","Down 24"
"1050",2009,59,"Dirty South","Up 15"
"1051",2010,59,"Astrix","Down 4"
"1052",2011,59,"Richard Durand","Down 5"
"1053",2012,59,"Umek","Up 1"
"1054",2013,59,"Madeon","Down 5"
"1055",2014,59,"Carl Cox","Down 13"
"1056",2015,59,"DJ Chetas","New Entry"
"1057",2016,59,"Brennan Heart","Down 6"
"1058",2017,59,"Brennan Heart","Non Mover"
"1059",2018,59,"Deadmau5","Down 10"
"1060",2019,59,"Ferry Corsten","Up 16"
"1061",2020,59,"Amelie Lens","New Entry"
"1062",2021,59,"Nora En Pure","Up 14"
"1063",2004,61,"DJ Luna","New Entry"
"1064",2005,63,"Fatboy Slim","Down 12"
"1065",2006,61,"DJ Sammy","Up 31"
"1066",2007,63,"Bob Sinclair","Down 11"
"1067",2008,60,"John O'Callaghan","New Entry 24"
"1068",2009,60,"Roger Sanchez","Down 3"
"1069",2010,60,"Super8 & Tab","Up 22"
"1070",2011,60,"Umek","Down 10"
"1071",2012,60,"Wolfgang Gartner","Down 4"
"1072",2013,60,"Vicetone","New Entry"
"1073",2014,60,"Eric Prydz","Down 6"
"1074",2015,60,"Danny Avila","New Entry"
"1075",2016,60,"Paul van Dyk","Down 19"
"1076",2017,60,"Mike Williams","New Entry"
"1077",2018,60,"Robin Schulz","Up 16"
"1078",2019,60,"Nina Kraviz","Up 37"
"1079",2020,60,"Boris Brejcha","Up 25"
"1080",2021,60,"Carta","Up 1"
"1081",2004,62,"M.I.K.E","Down 12"
"1082",2005,64,"Jeff Mills ","Down 17"
"1083",2006,62,"Joachim Garraud","New Entry"
"1084",2007,64,"John Acquaviva","Down42"
"1085",2008,61,"Blank & Jones","Down 24"
"1086",2009,61,"Mark Knight","Down 19"
"1087",2010,61,"Andy C","Up 39"
"1088",2011,61,"Skazi","Up 22"
"1089",2012,61,"AN21","Up 24"
"1090",2013,61,"Brennan Heart","Down 12"
"1091",2014,61,"Gabry Ponte","New Entry"
"1092",2015,61,"Kura","Down 19"
"1093",2016,61,"ATB","Up 21"
"1094",2017,61,"Dannic","Up 9"
"1095",2018,61,"Richie Hawtin","Up 19"
"1096",2019,61,"Alesso","Down 16"
"1097",2020,61,"Carta","Up 11"
"1098",2021,61,"Blasterjaxx","Up 9"
"1099",2004,63,"DJ Rush","Re-entryNextRanking "
"1100",2005,NA,NA,NA
"1101",2006,NA,NA,NA
"1102",2007,65,"Agnelli & Nelson","Up 33NextRanking "
"1103",2008,62,"Cosmic Gate","Re-entryNextRanking "
"1104",2009,62,"Wally Lopez","Up 13NextRanking "
"1105",2010,62,"Myon & Shane 54","Up 29NextRanking "
"1106",2011,62,"Paul Kalkbrenner","Up 22NextRanking "
"1107",2012,62,"Tommy Trash","New EntryNextRanking "
"1108",2013,62,"DJ Feel","Down 6NextRanking "
"1109",2014,62,"VINAI","New EntryNextRanking "
"1110",2015,62,"tchami","New EntryNextRanking "
"1111",2016,62,"Yves V","Down 28NextRanking "
"1112",2017,62,"Carl Cox","Up 12NextRanking "
"1113",2018,62,"Florian Picasso","Up 9NextRanking "
"1114",2019,62,"Breathe Carolina","Up 15NextRanking "
"1115",2020,62,"3 Are Legend","Up 8NextRanking "
"1116",2021,62,"Breathe Carolina","Up 1NextRanking "
"1117",2004,64,"Max Graham","Down 8"
"1118",2005,65,"DJ Rush","Down 2"
"1119",2006,63,"Timo Maas","Down 11"
"1120",2007,66,"Fatboy Slim","Up 14"
"1121",2008,63,"Steve Angello","Down 17"
"1122",2009,63,"Leon Bolier","Up 32"
"1123",2010,63,"Marcel Woods","Up 11"
"1124",2011,63,"Sasha","Down 36"
"1125",2012,63,"Francis Davila","Up 14"
"1126",2013,63,"Gunz For Hire","New Entry"
"1127",2014,63,"MAKJ","New Entry"
"1128",2015,63,"Carl Cox","Up 4"
"1129",2016,63,"Wolfpack","Down 11"
"1130",2017,63,"Carl Nunes","Up 23"
"1131",2018,63,"Swedish House Mafia","Re-entry"
"1132",2019,63,"FISHER","New Entry"
"1133",2020,63,"Breathe Carolina","Down 1"
"1134",2021,63,"Alesso","Down 18"
"1135",2004,NA,NA,NA
"1136",2005,66,"The Flash Brothers","Up 5"
"1137",2006,64,"Matt Hardwick","Down 6"
"1138",2007,67,"Andy C","Up 30"
"1139",2008,64,"Simon Patterson","New Entry 17"
"1140",2009,64,"Blank & Jones","Down 3"
"1141",2010,64,"Roger Sanchez","Down 4"
"1142",2011,64,"Eddie Halliwell","Down 17"
"1143",2012,64,"D-Block & S-te-Fan","Down 24"
"1144",2013,64,"Diplo","New Entry"
"1145",2014,64,"Radical Redemption","New Entry"
"1146",2015,64,"Laidback Luke","Down 14"
"1147",2016,64,"Dillon Francis","Up 3"
"1148",2017,64,"Lucas & Steve","New Entry"
"1149",2018,64,"Jay Hardway","Up 4"
"1150",2019,64,"Illenium","New Entry"
"1151",2020,64,"Deadmau5","Up 7"
"1152",2021,64,"Zedd","Down 29"
"1153",2004,NA,NA,NA
"1154",2005,67,"Adam Beyer","Down 17"
"1155",2006,65,"Frank T.R.A.X","Down 14"
"1156",2007,68,"Ricky Stone","Down 28"
"1157",2008,65,"Gabriel & Dresden","Down 42"
"1158",2009,65,"Justice","Up 8"
"1159",2010,65,"Wally Lopez","Down 3"
"1160",2011,65,"Moonbeam","Down 23"
"1161",2012,65,"Tritonal","Up 18"
"1162",2013,65,"Tenishia","Down 15"
"1163",2014,65,"DJ Snake","New Entry"
"1164",2015,65,"Disclosure","New Entry"
"1165",2016,65,"Andrew Rayel","Down 25"
"1166",2017,65,"Warface","New Entry"
"1167",2018,65,"Miss K8","Down 7"
"1168",2019,65,"Deorro","Up 24"
"1169",2020,65,"Ummet Ozcan","Down 33"
"1170",2021,65,"Pink Panda","Up 17"
"1171",2004,NA,NA,NA
"1172",2005,67,"Adam Beyer","Down 17"
"1173",2006,66,"Steve Angello","New Entry"
"1174",2007,69,"Donald Glaude","Down 23"
"1175",2008,66,"Richard Durand","Up 25"
"1176",2009,66,"Laurent Wolf","Up 1"
"1177",2010,66,"Mat Zo","New Entry"
"1178",2011,66,"Myon & Shane 54","Down 4"
"1179",2012,66,"Bingo Players","New Entry"
"1180",2013,66,"Noisecontrollers","Down 39"
"1181",2014,66,"Da Tweekaz","Up 20"
"1182",2015,66,"Firebeatz","Down 10"
"1183",2016,66,"Eric Prydz","Down 9"
"1184",2017,66,"Galantis","Down 27"
"1185",2018,66,"Mike Williams","Down 6"
"1186",2019,66,"Richie Hawtin","Down 5"
"1187",2020,66,"Nina Kraviz","Down 6"
"1188",2021,66,"Julian Jordan","Up 5"
"1189",2004,NA,NA,NA
"1190",2005,68,"Donald Glaude","Re-entry"
"1191",2006,67,"Danny Howells","Down 42"
"1192",2007,70,"Desyn Masiello","Non Mover"
"1193",2008,67,"Laurent Wolf","New Entry 25"
"1194",2009,67,"Astral Projection","Up 27"
"1195",2010,67,"Marco V","Down 17"
"1196",2011,67,"Judge Jules","Down 23"
"1197",2012,67,"Psyko Punkz","Up 11"
"1198",2013,67,"Mike Candys","Up 19"
"1199",2014,67,"Noisecontrollers","Down 1"
"1200",2015,67,"Dillon Francis","Down 13"
"1201",2016,67,"Felguk","Re-entry"
"1202",2017,67,"Da Tweekaz","Up 4"
"1203",2018,67,"Andrew Rayel","Up 12"
"1204",2019,67,"Diplo","Down 25"
"1205",2020,67,"Jamie Jones","New Entry"
"1206",2021,67,"MATTN","Down 25"
"1207",2004,NA,NA,NA
"1208",2005,69,"Dave Seaman","Down 12"
"1209",2006,68,"Simon Posford","New Entry"
"1210",2007,71,"Daft Punk","New Entry"
"1211",2008,68,"Matt Hardwick","Down 20"
"1212",2009,68,"Boys Noize","New Entry"
"1213",2010,68,"Leon Bolier","Down 5"
"1214",2011,68,"Matt Darey","Down 16"
"1215",2012,68,"Shogun","New Entry"
"1216",2013,68,"Antoine","New Entry"
"1217",2014,NA,"Carnage","New Entry"
"1218",2015,68,"Borgore","Down 27"
"1219",2016,68,"Radical Redemption","Up 4"
"1220",2017,68,"Jay Hardway","Up 21"
"1221",2018,68,"Mariana Bo","Up 16"
"1222",2019,68,"Da Tweekaz","Up 8"
"1223",2020,67,"Yellow Claw","Up 10"
"1224",2021,68,"Black Coffee","Up 23"
"1225",2004,NA,NA,NA
